video_id,url,title,channel_name,status,caption_kind,caption_language,text_path,processed_at,error
-B0a3XR-rQM,https://www.youtube.com/watch?v=-B0a3XR-rQM,"Are the Deep State Buying Bunkers? They Must Know That Sooner or Later, the Pitchforks Will Come Out",The Solari Report | Catherine Austin Fitts,caption_download_failed,,,,2026-09-20T06:50:40.309708+00:00,
-YPhdbbhvv4,https://www.youtube.com/watch?v=-YPhdbbhvv4,Public-Private Partnerships Are Much More Dangerous than the Government Alone,The Solari Report | Catherine Austin Fitts,captioned,auto,en,normalized\-YPhdbbhvv4.txt,2026-09-20T06:51:21.762526+00:00,
-_lKAWllYKs,https://www.youtube.com/watch?v=-_lKAWllYKs,There Is a Better Way of Providing Healthcare than Managing Symptoms,The Solari Report | Catherine Austin Fitts,caption_download_failed,,,,2026-09-20T06:49:17.960200+00:00,
0CYfIbJHp2U,https://www.youtube.com/watch?v=0CYfIbJHp2U,Rep Heather Scott: “Solari Has Been Instrumental in State Legislation to Preserve Financial Freedom”,The Solari Report | Catherine Austin Fitts,captioned,auto,en,normalized\0CYfIbJHp2U.txt,2026-09-20T06:50:03.744226+00:00,
0X0H0jcnelU,https://www.youtube.com/watch?v=0X0H0jcnelU,We Need to Be Upfront That There Are Risks Involved by Opposing the Government,The Solari Report | Catherine Austin Fitts,captioned,auto,en,normalized\0X0H0jcnelU.txt,2026-09-20T06:50:32.993865+00:00,
1q3O8KbUHfU,https://www.youtube.com/watch?v=1q3O8KbUHfU,China Says No to Foreign Stablecoins. They Want Control over Their Money,The Solari Report | Catherine Austin Fitts,captioned,auto,en,normalized\1q3O8KbUHfU.txt,2026-09-20T06:52:24.839487+00:00,
2FCT_uA2z5k,https://www.youtube.com/watch?v=2FCT_uA2z5k,The Paradox of Oneness and Diversity,The Solari Report | Catherine Austin Fitts,captioned,auto,en,normalized\2FCT_uA2z5k.txt,2026-09-20T06:49:21.891492+00:00,
37qD1Jj3NOc,https://www.youtube.com/watch?v=37qD1Jj3NOc,Our Top Priority Should Be to Stop the Digital Control Grid; Everything Else Is a Distraction,The Solari Report | Catherine Austin Fitts,captioned,auto,en,normalized\37qD1Jj3NOc.txt,2026-09-20T06:45:25.555269+00:00,
3Yse_2fUKuk,https://www.youtube.com/watch?v=3Yse_2fUKuk,Use Personal Stories to Convince Your State Leaders to Move Legislation,The Solari Report | Catherine Austin Fitts,captioned,auto,en,normalized\3Yse_2fUKuk.txt,2026-09-20T06:49:35.091316+00:00,
4L0_mfIwTzY,https://www.youtube.com/watch?v=4L0_mfIwTzY,"With High-Quality Fixed Income, You Need to Know What You Are Doing When Underwriting Credits",The Solari Report | Catherine Austin Fitts,captioned,auto,en,normalized\4L0_mfIwTzY.txt,2026-09-20T06:49:47.113601+00:00,
4SOH-kpAOhE,https://www.youtube.com/watch?v=4SOH-kpAOhE,Legislation Needs to Include Penalties in Case Government Officials Decide to Ignore the New Law,The Solari Report | Catherine Austin Fitts,captioned,auto,en,normalized\4SOH-kpAOhE.txt,2026-09-20T06:49:13.844705+00:00,
4t6o_sBGuaU,https://www.youtube.com/watch?v=4t6o_sBGuaU,Nurse Advocates Provide Healthcare the Way It Was Meant to Be,The Solari Report | Catherine Austin Fitts,caption_download_failed,,,,2026-09-20T06:50:02.146895+00:00,
58byubq4VLQ,https://www.youtube.com/watch?v=58byubq4VLQ,The Trump Family Is Setting Itself Up to Be the Next Scapegoat,The Solari Report | Catherine Austin Fitts,captioned,auto,en,normalized\58byubq4VLQ.txt,2026-09-20T06:53:02.879858+00:00,
6Mg0q_IyWgY,https://www.youtube.com/watch?v=6Mg0q_IyWgY,Another Fake Pandemic Is a Great Distraction and Cover Story for Fuel Rationing,The Solari Report | Catherine Austin Fitts,captioned,auto,en,normalized\6Mg0q_IyWgY.txt,2026-09-20T06:52:45.958308+00:00,
71DIp8e2mXk,https://www.youtube.com/watch?v=71DIp8e2mXk,"The Model Is Not “One Puppet Master at the Top”—It’s a Complex, Integrated Web with Common Cause",The Solari Report | Catherine Austin Fitts,captioned,auto,en,normalized\71DIp8e2mXk.txt,2026-09-20T06:52:19.285766+00:00,
87SJi_DDbt4,https://www.youtube.com/watch?v=87SJi_DDbt4,Congress Responds When People Get on the Phone or Send Handwritten Letters,The Solari Report | Catherine Austin Fitts,captioned,auto,en,normalized\87SJi_DDbt4.txt,2026-09-20T06:53:08.664247+00:00,
9Td1lcX-Cno,https://www.youtube.com/watch?v=9Td1lcX-Cno,Channel Wars and Data Chokepoints—Are Non-State Actors Involved in Communications Sabotage?,The Solari Report | Catherine Austin Fitts,captioned,auto,en,normalized\9Td1lcX-Cno.txt,2026-09-20T06:50:59.032211+00:00,
C-nY_mj1XtE,https://www.youtube.com/watch?v=C-nY_mj1XtE,Health Insurance Is the Biggest Ponzi Scheme There Is,The Solari Report | Catherine Austin Fitts,captioned,auto,en,normalized\C-nY_mj1XtE.txt,2026-09-20T06:49:36.209804+00:00,
ChdoKKB48CU,https://www.youtube.com/watch?v=ChdoKKB48CU,"Throughout History, the Royal and Banking Families Have Controlled the State with Credit and Money",The Solari Report | Catherine Austin Fitts,captioned,auto,en,normalized\ChdoKKB48CU.txt,2026-09-20T06:49:41.711088+00:00,
DS3LfI1HbjI,https://www.youtube.com/watch?v=DS3LfI1HbjI,"Even If The World Discourages You, Don’t Quit—Remember, Momentum Is Force",The Solari Report | Catherine Austin Fitts,captioned,auto,en,normalized\DS3LfI1HbjI.txt,2026-09-20T06:45:37.630351+00:00,
DrGmCAQxBig,https://www.youtube.com/watch?v=DrGmCAQxBig,You Can’t Heal When You Don’t Have Hope,The Solari Report | Catherine Austin Fitts,captioned,auto,en,normalized\DrGmCAQxBig.txt,2026-09-20T06:49:29.388965+00:00,
EcB_a4xpseY,https://www.youtube.com/watch?v=EcB_a4xpseY,"On 9/11, the Entire World Trade Center Was Turned into a Tesla Electrical Circuit",The Solari Report | Catherine Austin Fitts,caption_download_failed,,,,2026-09-20T06:48:38.658481+00:00,
FXNfNrtGHlo,https://www.youtube.com/watch?v=FXNfNrtGHlo,World War III Madness Is under Way,The Solari Report | Catherine Austin Fitts,captioned,auto,en,normalized\FXNfNrtGHlo.txt,2026-09-20T06:50:39.477061+00:00,
H0v8c7WingM,https://www.youtube.com/watch?v=H0v8c7WingM,"If You Organize Locally and Strategically, Pushback against Tyranny Is Possible",The Solari Report | Catherine Austin Fitts,captioned,auto,en,normalized\H0v8c7WingM.txt,2026-09-20T06:52:02.770177+00:00,
IERDRFLdgbw,https://www.youtube.com/watch?v=IERDRFLdgbw,Two Weeks to Flatten the Curve on a Loop,The Solari Report | Catherine Austin Fitts,captioned,auto,en,normalized\IERDRFLdgbw.txt,2026-09-20T06:52:13.587337+00:00,
INWRgXjwPXk,https://www.youtube.com/watch?v=INWRgXjwPXk,Is Betting on Assassinations and War the New Form of Insider Trading?,The Solari Report | Catherine Austin Fitts,captioned,auto,en,normalized\INWRgXjwPXk.txt,2026-09-20T06:53:13.716612+00:00,
JXo9mjpc2Wg,https://www.youtube.com/watch?v=JXo9mjpc2Wg,A Nurse Advocate Can Help You Navigate the “Penitentiary” We Call Hospitals,The Solari Report | Catherine Austin Fitts,captioned,auto,en,normalized\JXo9mjpc2Wg.txt,2026-09-20T06:50:09.103866+00:00,
KKxQfBk1zBY,https://www.youtube.com/watch?v=KKxQfBk1zBY,Banking—A Business Model That’s Hard to Beat,The Solari Report | Catherine Austin Fitts,captioned,auto,en,normalized\KKxQfBk1zBY.txt,2026-09-20T06:49:01.961709+00:00,
KiRtjIh2kjc,https://www.youtube.com/watch?v=KiRtjIh2kjc,We Need a Plasma-Based Physics Rather than an Atom-Based Physics,The Solari Report | Catherine Austin Fitts,captioned,auto,en,normalized\KiRtjIh2kjc.txt,2026-09-20T06:52:58.258201+00:00,
LCbpnzlLKg8,https://www.youtube.com/watch?v=LCbpnzlLKg8,Mr. Global Is Everywhere—Our Job Is to Defend Civilization and What It Means to Be Human,The Solari Report | Catherine Austin Fitts,captioned,auto,en,normalized\LCbpnzlLKg8.txt,2026-09-20T06:49:30.833288+00:00,
LTWifAkVVDg,https://www.youtube.com/watch?v=LTWifAkVVDg,"The U.S. Is Not Able to Protect Its Allies, and Now They Have a Target on Their Back",The Solari Report | Catherine Austin Fitts,captioned,auto,en,normalized\LTWifAkVVDg.txt,2026-09-20T06:51:57.410576+00:00,
LWo92RhcKhc,https://www.youtube.com/watch?v=LWo92RhcKhc,"People Consider Inflation the Number One Issue, but They Don’t Understand It",The Solari Report | Catherine Austin Fitts,caption_download_failed,,,,2026-09-20T06:51:16.904684+00:00,
MGnJEb4sXwM,https://www.youtube.com/watch?v=MGnJEb4sXwM,Civilization at the Crossroads with Alastair Crooke (Full Interview),The Solari Report | Catherine Austin Fitts,captioned,auto,en,normalized\MGnJEb4sXwM.txt,2026-09-20T06:52:57.126511+00:00,
MaTz-usR3uo,https://www.youtube.com/watch?v=MaTz-usR3uo,The Iron Bank Always Wins,The Solari Report | Catherine Austin Fitts,captioned,auto,en,normalized\MaTz-usR3uo.txt,2026-09-20T06:53:08.145386+00:00,
MztMjj6LxXk,https://www.youtube.com/watch?v=MztMjj6LxXk,Are the New Sanctions on Iran a Pretext for Red-Taping the U.S. into a Control Grid?,The Solari Report | Catherine Austin Fitts,captioned,auto,en,normalized\MztMjj6LxXk.txt,2026-09-20T06:48:52.399641+00:00,
Nx-vggrpYNw,https://www.youtube.com/watch?v=Nx-vggrpYNw,Moving from an Open Model to a Closed Model As Long As the Top 1% Wins,The Solari Report | Catherine Austin Fitts,captioned,auto,en,normalized\Nx-vggrpYNw.txt,2026-09-20T06:48:46.137418+00:00,
