predicate_code,family,default_polarity,relationship_graph_eligible,description
MENTIONS,REFERENCE,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
NAMES,REFERENCE,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
IDENTIFIES,REFERENCE,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
REFERS_TO,REFERENCE,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
DESCRIBES,REFERENCE,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
DEFINES,REFERENCE,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
LABELS,REFERENCE,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
RENAMES,REFERENCE,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
ALIASES,REFERENCE,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
QUOTES,REFERENCE,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
PARAPHRASES,REFERENCE,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
SUMMARIZES,REFERENCE,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
CITES,REFERENCE,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
LINKS_TO,REFERENCE,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
POINTS_TO,REFERENCE,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
SHOWS,REFERENCE,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
DISPLAYS,REFERENCE,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
INTRODUCES,REFERENCE,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
ADDRESSES,REFERENCE,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
THANKS,REFERENCE,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
PRAISES,POSITIVE_STANCE,POSITIVE,NO,"Normalized investigative semantic predicate"
ENDORSES,POSITIVE_STANCE,POSITIVE,NO,"Normalized investigative semantic predicate"
SUPPORTS,POSITIVE_STANCE,POSITIVE,NO,"Normalized investigative semantic predicate"
DEFENDS,POSITIVE_STANCE,POSITIVE,NO,"Normalized investigative semantic predicate"
AGREES_WITH,POSITIVE_STANCE,POSITIVE,NO,"Normalized investigative semantic predicate"
APPROVES,POSITIVE_STANCE,POSITIVE,NO,"Normalized investigative semantic predicate"
TRUSTS,POSITIVE_STANCE,POSITIVE,NO,"Normalized investigative semantic predicate"
RESPECTS,POSITIVE_STANCE,POSITIVE,NO,"Normalized investigative semantic predicate"
ADMIRES,POSITIVE_STANCE,POSITIVE,NO,"Normalized investigative semantic predicate"
