entity_type,description
PERSON,"Named individual"
PERSON_ROLE,"Unresolved person referenced by role/title"
PERSON_GROUP,"Family or named collection of people"
PSEUDONYM,"Alias/pen name/handle"
COMPANY,"For-profit company"
SUBSIDIARY,"Corporate subsidiary"
HOLDING_COMPANY,"Holding company"
PARTNERSHIP,"Business partnership"
NONPROFIT,"Nonprofit organization"
FOUNDATION,"Foundation"
ASSOCIATION,"Association/trade group"
THINK_TANK,"Think tank/research institute"
UNIVERSITY,"University or college"
RESEARCH_LAB,"Research laboratory"
HOSPITAL,"Hospital/medical institution"
GOVERNMENT,"Government/state"
GOVERNMENT_AGENCY,"Government agency"
REGULATOR,"Regulatory body"
MILITARY_ORG,"Military organization/unit"
INTELLIGENCE_ORG,"Intelligence organization"
LAW_ENFORCEMENT,"Law-enforcement organization"
COURT,"Court/tribunal"
POLITICAL_PARTY,"Political party"
CAMPAIGN,"Political campaign"
PAC,"Political action committee"
UNION,"Labor union"
RELIGIOUS_ORG,"Religious organization"
MEDIA_OUTLET,"Media company/outlet"
SHOW,"Broadcast/streaming show"
PODCAST,"Podcast"
YOUTUBE_CHANNEL,"YouTube channel"
SOCIAL_ACCOUNT,"Social-media account"
WEBSITE,"Website/domain"
NEWSLETTER,"Newsletter"
PUBLICATION,"Magazine/newspaper/publication"
SUBSTACK,"Substack publication"
BOOK,"Book"
ARTICLE,"Article"
REPORT,"Report/white paper"
STUDY,"Study/paper"
DATASET,"Dataset/database"
DOCUMENTARY,"Documentary"
FILM,"Film/video work"
AUDIO_PROGRAM,"Audio program"
PRODUCT,"Product"
SERVICE,"Service"
SUPPLEMENT,"Supplement/nutraceutical"
DRUG,"Drug/medication"
MEDICAL_DEVICE,"Medical device"
SOFTWARE,"Software"
AI_MODEL,"AI model"
PLATFORM,"Technology/platform"
FINANCIAL_PRODUCT,"Financial product"
SECURITY,"Security/investment instrument"
CRYPTO_ASSET,"Cryptocurrency/token"
FUND,"Investment fund"
BANK,"Bank/financial institution"
PAYMENT_NETWORK,"Payment network"
MANUFACTURER,"Manufacturer when treated as entity role"
DISTRIBUTOR,"Distributor when treated as entity role"
RETAILER,"Retailer"
CONFERENCE,"Conference"
SUMMIT,"Summit"
EVENT,"Event"
PANEL,"Panel/session"
PROJECT,"Project"
INITIATIVE,"Initiative"
PROGRAM,"Program"
CAMPAIGN_INITIATIVE,"Advocacy/public campaign"
LAW,"Law/statute"
BILL,"Proposed legislation"
REGULATION,"Regulation/rule"
POLICY,"Policy"
EXECUTIVE_ORDER,"Executive order"
COURT_CASE,"Court case"
INVESTIGATION,"Formal investigation"
SETTLEMENT,"Settlement"
LICENSE,"License/authorization"
PLACE,"Place/location"
COUNTRY,"Country"
STATE_PROVINCE,"State/province/region"
CITY,"City"
FACILITY,"Named facility"
INFRASTRUCTURE,"Infrastructure asset/system"
TECHNOLOGY,"Technology/concept"
PROTOCOL,"Protocol/standard"
IDEOLOGY,"Ideology"
MOVEMENT,"Movement/community"
NAMED_GROUP,"Named informal group"
CONCEPT,"Named concept/term"
NARRATIVE,"Narrative/claim cluster"
CLAIM,"Atomic claim node"
SOURCE,"Generic source/document node"
UNKNOWN_NAMED_ENTITY,"Named entity not yet classified"
COREFERENCE_UNRESOLVED,"Pronoun/referent unresolved"
