candidate_key,display_name,candidate_type,canonical_entity_id,mention_count,distinct_content_count,distinct_source_count,speaker_count,triage_score,review_priority,signal_types,sample_content_id,sample_snippet,batch_id,source_label
solari,Solari,organization,solari,35,7,7,0,258,EXISTING,known;proper_case,0CYfIbJHp2U,I just wanted to say thank you for having us on. If anyone Solari has been,20260920T071212Z_REBUILD,rebuild_all
solari report,Solari Report,organization,solari,15,2,2,0,238,EXISTING,known;proper_case,FXNfNrtGHlo,"Ladies and gentlemen, welcome to the Solari Report with John Titus and",20260920T071212Z_REBUILD,rebuild_all
corey lynn,Corey Lynn,person,lynn_corey,6,1,1,0,225,EXISTING,known;proper_case,sSrRCNjcm5I,to tell you is we have I'm I'm very lucky cuz right now Corey Lynn who's got,20260920T071212Z_REBUILD,rebuild_all
catherine austin fitts,Catherine Austin Fitts,person,fitts_catherine,3,1,1,0,211,EXISTING,known,FXNfNrtGHlo,Solari Report with John Titus and Catherine Austin Fitts. This is money,20260920T071212Z_REBUILD,rebuild_all
john titus,John Titus,person,titus_john,3,1,1,0,211,EXISTING,known,FXNfNrtGHlo,"Ladies and gentlemen, welcome to the Solari Report with John Titus and",20260920T071212Z_REBUILD,rebuild_all
trump,Trump,named_entity,,30,7,7,0,83,HIGH,cue_person;proper_case,58byubq4VLQ,in both conversations and interviews the grifting by the Trump family in crypto,20260920T071212Z_REBUILD,rebuild_all
corey digs,Corey digs,website,,3,1,1,0,66,HIGH,cue_entity,sSrRCNjcm5I,lucky cuz right now Corey Lynn who's got a great website Corey digs is I want to,20260920T071212Z_REBUILD,rebuild_all
in arizona,in Arizona,website,,3,1,1,0,66,HIGH,cue_entity,SOADMgNpZr0,heard about this doctor. She's got a a website in Arizona where she talks of,20260920T071212Z_REBUILD,rebuild_all
society org,society.org,website,,3,1,1,0,66,HIGH,url,mq7GSzwaGBw,>> applied AI society >> applied so applied society.org and you,20260920T071212Z_REBUILD,rebuild_all
teams com,teams.com,website,,3,1,1,0,66,HIGH,url,mq7GSzwaGBw,>> How do we find you? >> So at open teams.com obviously go there.,20260920T071212Z_REBUILD,rebuild_all
travisopenteams com,travisopenteams.com,website,,3,1,1,0,66,HIGH,url,mq7GSzwaGBw,ways to connect with me. Or you can email me at travisopenteams.com.,20260920T071212Z_REBUILD,rebuild_all
global,Global,person,,11,4,4,0,65,HIGH,cue_person,eyItREqSFvA,"And if you look at our enemy, if you look at Mr. Global, he's very effective",20260920T071212Z_REBUILD,rebuild_all
i m,I'm,named_entity,,342,34,34,0,58,HIGH,proper_case,0X0H0jcnelU,"of a population, if even that much. Now, I'm not saying that what we're",20260920T071212Z_REBUILD,rebuild_all
i ve,I've,named_entity,,154,15,15,0,58,HIGH,proper_case,58byubq4VLQ,In the last 2 weeks since I've been in,20260920T071212Z_REBUILD,rebuild_all
china,China,named_entity,,115,7,7,0,58,HIGH,proper_case,1q3O8KbUHfU,pegged to their currency without the prior consent of China.,20260920T071212Z_REBUILD,rebuild_all
iran,Iran,named_entity,,111,10,10,0,58,HIGH,proper_case,IERDRFLdgbw,"when we when we start this bombing Iran, it goes",20260920T071212Z_REBUILD,rebuild_all
united states,United States,person_or_named_entity,,97,13,13,0,58,HIGH,proper_case,58byubq4VLQ,"In the last 2 weeks since I've been in the United States, I can't tell you how",20260920T071212Z_REBUILD,rebuild_all
europe,Europe,named_entity,,47,10,10,0,58,HIGH,proper_case,2FCT_uA2z5k,and it electrified Europe completely electrified it,20260920T071212Z_REBUILD,rebuild_all
right and,Right. And,person_or_named_entity,,39,8,8,0,58,HIGH,proper_case,87SJi_DDbt4,that works. Right. And you should see what happens,20260920T071212Z_REBUILD,rebuild_all
that s the,That's the,organization,,39,7,7,0,58,HIGH,proper_case,ilzuEH2Enr4,absolutely be the seeds have been already planted. That's the good news.,20260920T071212Z_REBUILD,rebuild_all
america,America,named_entity,,37,7,7,0,58,HIGH,proper_case,ChdoKKB48CU,um if you like uh revolutionary Trotskyism to America that ultimately,20260920T071212Z_REBUILD,rebuild_all
it s the,It's the,person_or_named_entity,,36,8,8,0,58,HIGH,proper_case,87SJi_DDbt4,control grid. They're trying to get the taxpayers to pay for it. It's the,20260920T071212Z_REBUILD,rebuild_all
covid,COVID,named_entity,,30,7,7,0,58,HIGH,proper_case,JXo9mjpc2Wg,"break people out of hospitals. And during COVID, I may or may not have,",20260920T071212Z_REBUILD,rebuild_all
right so,Right. So,person_or_named_entity,,29,11,11,0,58,HIGH,proper_case,-YPhdbbhvv4,">> Right. So it you know, it's back to this",20260920T071212Z_REBUILD,rebuild_all
poland,Poland,named_entity,,26,7,7,0,58,HIGH,proper_case,aQYwmh0gCQo,and they'll think we are insane. This is like we're we're Poland out there,20260920T071212Z_REBUILD,rebuild_all
polish,Polish,named_entity,,26,6,6,0,58,HIGH,proper_case,m50hk1fyOYs,"people from concentration camps, put Polish uniforms on them, and you know,",20260920T071212Z_REBUILD,rebuild_all
it s,It's,named_entity,,25,7,7,0,58,HIGH,proper_case,ilzuEH2Enr4,advocate that AI can help us because it is technology. It's not It's a,20260920T071212Z_REBUILD,rebuild_all
right right,Right. Right,event,,17,8,8,0,58,HIGH,proper_case,87SJi_DDbt4,Congress responds when people get on the phone and start screaming. Right. Right.,20260920T071212Z_REBUILD,rebuild_all
i m i m,I'm I'm,person_or_named_entity,,16,6,6,0,58,HIGH,proper_case,6Mg0q_IyWgY,I'm I'm on their feeds about the Hunter,20260920T071212Z_REBUILD,rebuild_all
israel,Israel,named_entity,,31,5,5,0,53,HIGH,proper_case,ChdoKKB48CU,which eventually led to the creation of the state of Israel.,20260920T071212Z_REBUILD,rebuild_all
okay so,Okay. So,person_or_named_entity,,31,5,5,0,53,HIGH,proper_case,MGnJEb4sXwM,"much for what you said. >> Okay. So, one of the one of the",20260920T071212Z_REBUILD,rebuild_all
netherlands,Netherlands,named_entity,,24,5,5,0,53,HIGH,proper_case,eyItREqSFvA,>> Oh oh I would like to respond to this because here in the Netherlands so many,20260920T071212Z_REBUILD,rebuild_all
we re,We're,named_entity,,18,5,5,0,53,HIGH,proper_case,MGnJEb4sXwM,"But that was it. They were saying, ""We're we're taking a lead. We're out",20260920T071212Z_REBUILD,rebuild_all
united,United,named_entity,,14,5,5,0,53,HIGH,proper_case,9Td1lcX-Cno,illegal. Chinese cars are illegal. You can't buy Chinese cars in the United,20260920T071212Z_REBUILD,rebuild_all
that s,That's,named_entity,,13,5,5,0,53,HIGH,proper_case,p0jPh9KrCgc,And so you they'll go behind your back or not. That's not a bad way to That's a,20260920T071212Z_REBUILD,rebuild_all
quansite quite,Quansite. Quite,organization,,6,1,1,0,50,HIGH,cue_entity;proper_case,mq7GSzwaGBw,one of my dear friends who actually runs a company called Quansite. Quite was a,20260920T071212Z_REBUILD,rebuild_all
