video_id,url,title,channel_id,channel_name,duration_seconds,live_status,tabs
p0jPh9KrCgc,https://www.youtube.com/watch?v=p0jPh9KrCgc,Small Banks and Legislators Need to Realize That Programmable Money Will Put Them out of Business,,,223,,videos
37qD1Jj3NOc,https://www.youtube.com/watch?v=37qD1Jj3NOc,Our Top Priority Should Be to Stop the Digital Control Grid; Everything Else Is a Distraction,,,60,,videos
ZW6Lf7iQV3Q,https://www.youtube.com/watch?v=ZW6Lf7iQV3Q,"One Way to Deal with Inflation: Eat Local, Eat Real Food, and Cook It Yourself",,,112,,videos
RD8gcj5aP74,https://www.youtube.com/watch?v=RD8gcj5aP74,"When ""Net-Energy-Plus"" People Lead, Followers Follow—but Keep the ""Slugs"" in the Corner!",,,138,,videos
DS3LfI1HbjI,https://www.youtube.com/watch?v=DS3LfI1HbjI,"Even If The World Discourages You, Don’t Quit—Remember, Momentum Is Force",,,99,,videos
W4aWp1dC5ZU,https://www.youtube.com/watch?v=W4aWp1dC5ZU,State Legislators Listen to Voters Who Voice Their Opinion,,,111,,videos
EcB_a4xpseY,https://www.youtube.com/watch?v=EcB_a4xpseY,"On 9/11, the Entire World Trade Center Was Turned into a Tesla Electrical Circuit",,,163,,videos
RRPA9FVZ2Ds,https://www.youtube.com/watch?v=RRPA9FVZ2Ds,There Was a Moment on 9/11 When the Bush Administration Realized There’s Another Player on the Block,,,169,,videos
Nx-vggrpYNw,https://www.youtube.com/watch?v=Nx-vggrpYNw,Moving from an Open Model to a Closed Model As Long As the Top 1% Wins,,,70,,videos
MztMjj6LxXk,https://www.youtube.com/watch?v=MztMjj6LxXk,Are the New Sanctions on Iran a Pretext for Red-Taping the U.S. into a Control Grid?,,,171,,videos
m50hk1fyOYs,https://www.youtube.com/watch?v=m50hk1fyOYs,9/11 Was the Equivalent of Agatha Christie’s “Murder on the Orient Express”,,,303,,videos
hMSD8_AvyAM,https://www.youtube.com/watch?v=hMSD8_AvyAM,Turning Earth into Gold: That’s Alchemy,,,74,,videos
KKxQfBk1zBY,https://www.youtube.com/watch?v=KKxQfBk1zBY,Banking—A Business Model That’s Hard to Beat,,,317,,videos
XdWOJT8oaqY,https://www.youtube.com/watch?v=XdWOJT8oaqY,"Consider Trauma As “Money in the Bank”—When You Release It, There Are Lessons to Be Learned",,,221,,videos
xIZYuhJjYAQ,https://www.youtube.com/watch?v=xIZYuhJjYAQ,The Note from Heaven: Experiencing Power That You Did Not Know You Had,,,209,,videos
hxQGwThmCD8,https://www.youtube.com/watch?v=hxQGwThmCD8,Sound Can Be Healing,,,111,,videos
4SOH-kpAOhE,https://www.youtube.com/watch?v=4SOH-kpAOhE,Legislation Needs to Include Penalties in Case Government Officials Decide to Ignore the New Law,,,51,,videos
-_lKAWllYKs,https://www.youtube.com/watch?v=-_lKAWllYKs,There Is a Better Way of Providing Healthcare than Managing Symptoms,,,223,,videos
2FCT_uA2z5k,https://www.youtube.com/watch?v=2FCT_uA2z5k,The Paradox of Oneness and Diversity,,,193,,videos
