id,name,type,cluster,priority,min_sources,status,known_connection
fitts_catherine,"Catherine Austin Fitts",person,Solari,CORE,50,seed,"Founder/president; hub"
solari,"Solari / Solari Report",organization,Solari,CORE,50,seed,"Primary commercial/media hub"
armstrong_martin,"Martin Armstrong",person,Armstrong,CORE,50,seed,"Armstrong Economics/Socrates hub"
armstrong_economics,"Armstrong Economics",organization,Armstrong,CORE,50,seed,"Commercial/research platform"
socrates,"Socrates",product,Armstrong,CORE,50,seed,"Forecasting product/platform"
betts_carolyn,"Carolyn Betts",person,Solari,HIGH,50,seed,"Solari general counsel/collaborator"
titus_john,"John Titus",person,Solari,HIGH,50,seed,"Solari Money & Markets co-host"
farrell_joseph,"Joseph P. Farrell",person,Solari,HIGH,50,seed,"Recurring Solari collaborator"
lynn_corey,"Corey Lynn / Corey's Digs",person,Solari,HIGH,50,seed,"Joint Solari Solution Series"
oskam_ricardo,"Ricardo Oskam",person,Solari,HIGH,50,seed,"Recurring Solari host/contributor"
vanhamelen_elze,"Elze van Hamelen",person,Solari,HIGH,50,seed,"Solari researcher/contributor"
walters_jennifer,"Jennifer Walters",person,Solari,MEDIUM,50,seed,"Solari health programming"
granogger_ulrike,"Ulrike Granögger",person,Solari,MEDIUM,50,seed,"Future Science programming"
white_james,"James White",person,Solari,MEDIUM,50,seed,"Solution Series co-host"
luschas_susan,"Susan Luschas",person,Solari,MEDIUM,50,seed,"Cash/state-policy collaborator"
werner_richard,"Richard Werner",person,FinanceNetwork,HIGH,50,seed,"Conferences/panels with Fitts"
dowd_edward,"Edward Dowd",person,FinanceNetwork,HIGH,50,seed,"Conference/media overlap"
skidmore_mark,"Mark Skidmore",person,FinanceNetwork,HIGH,50,seed,"Research/collaboration with Fitts"
schectman_andy,"Andy Schectman",person,PreciousMetals,HIGH,50,seed,"Miles Franklin reciprocal media"
miles_franklin,"Miles Franklin Precious Metals",organization,PreciousMetals,HIGH,50,seed,"Commercial precious-metals node"
tommey_polly,"Polly Tommey",person,CHD,HIGH,50,seed,"Financial Rebellion co-host"
chd,"Children's Health Defense",organization,CHD,HIGH,50,seed,"Formal Solari/CHD collaboration"
holland_mary,"Mary Holland",person,CHD,HIGH,50,seed,"CHD leadership/conference overlap"
mercola_joseph,"Joseph Mercola",person,HealthNetwork,HIGH,50,seed,"Repeated Fitts interviews"
bigtree_del,"Del Bigtree / The HighWire",person,HealthNetwork,HIGH,50,seed,"Fitts interview/media bridge"
ican,"ICAN",organization,HealthNetwork,HIGH,50,seed,"HighWire-associated organization"
patrick_james,"James Patrick / Planet Lockdown",person,MediaNetwork,HIGH,50,seed,"Interviewed Fitts and Armstrong"
planet_lockdown,"Planet Lockdown",organization,MediaNetwork,HIGH,50,seed,"Shared Fitts/Armstrong media bridge"
doctors_covid_ethics,"Doctors for Covid Ethics",organization,HealthNetwork,HIGH,50,seed,"Conference/symposium hub"
uk_column,"UK Column",organization,MediaNetwork,HIGH,50,seed,"Repeated Fitts symposium/media hub"
robinson_mike,"Mike Robinson",person,MediaNetwork,MEDIUM,50,seed,"UK Column/conference overlap"
hudak_taylor,"Taylor Hudak",person,MediaNetwork,MEDIUM,50,seed,"Symposium/conference moderation"
nass_meryl,"Meryl Nass",person,HealthNetwork,HIGH,50,seed,"Conference overlap"
latypova_sasha,"Sasha Latypova",person,HealthNetwork,HIGH,50,seed,"Conference overlap"
kory_pierre,"Pierre Kory",person,HealthNetwork,HIGH,50,seed,"Conference overlap"
yeadon_michael,"Michael Yeadon",person,HealthNetwork,HIGH,50,seed,"Symposium overlap"
bhakdi_sucharit,"Sucharit Bhakdi",person,HealthNetwork,HIGH,50,seed,"Symposium overlap"
holzeisen_renate,"Renate Holzeisen",person,HealthNetwork,MEDIUM,50,seed,"Conference overlap"
hunter_greg,"Greg Hunter / USAWatchdog",person,MediaNetwork,CORE,50,seed,"Repeated Fitts and Armstrong amplifier"
usawatchdog,"USAWatchdog",organization,MediaNetwork,CORE,50,seed,"Repeated Fitts/Armstrong interviews and promotions"
westall_sarah,"Sarah Westall / Business Game Changers",person,MediaNetwork,CORE,50,seed,"Repeated Fitts/Armstrong interviews + paid content"
