watcher_id,name,type,direct_target,area,initial_value,reliability_tier,independence_notes,url,status,notes
W001,"Secret Pi Cycle",independent tracker,"Martin Armstrong","dated prediction audit","Tracks 86 public dated calls with linked sources and scoring","B","Operator identity/credentials still need verification; verify each underlying source",https://secretpicycle.com/,active,"High-priority lead source; methodology is explicit"
W002,"Ava Research",independent research site,"Martin Armstrong","legal history, forecasting, media mythmaking","Long source-heavy critique with primary-source index","B","Authorship/organizational credentials need separate verification",https://www.avaresearch.com/,active,"Mine bibliography and independently reproduce key findings"
W003,"Mike Shedlock / MishTalk",financial blogger,"Martin Armstrong","specific claim debunking","Published direct debunking of Armstrong Nord Stream claims","B","Named financial commentator; argument still requires source-by-source verification",https://mishtalk.com/,active,"Useful adversarial source"
W004,"Science-Based Medicine / David Gorski",specialist skeptical medicine,"Catherine Austin Fitts / Mark Skidmore","health claims, research funding, retractions","Directly examined Fitts-funded Skidmore vaccine-mortality paper and disclosed funding conflict","A/B","Strong medical/scientific critique; editorial viewpoint is openly skeptical",https://sciencebasedmedicine.org/,active,"High value for health-science branch"
W005,"VERA Files Fact Check",fact-checking organization,"Catherine Austin Fitts","CBDC / 5-km transaction claim","Direct fact-check traced claim to Carstens remarks and found interpretation false","A",independent newsroom/fact-checker,https://verafiles.org/,active,"Good direct Fitts claim audit"
W006,"Lead Stories",fact-checking organization,"Catherine Austin Fitts","vaccine passports / financial control grid","Direct fact-check found no evidence for stated control-grid claim","A",professional fact-checking newsroom,https://leadstories.com/,active,"Use original clips plus cited sources"
W007,"FactCheck.org",fact-checking organization,"Fitts / Skidmore research","Pentagon unsupported adjustments","Explained the $21T journal-voucher research in context","A",Annenberg Public Policy Center project,https://www.factcheck.org/,active,"Good bridge to primary accounting sources"
W008,"PolitiFact",fact-checking organization,"Catherine Austin Fitts","specific conspiracy claims","Documented Fitts repeating Diddy/wildfire conspiracy in 2025","A",professional fact-checking newsroom,https://www.politifact.com/,active,"Claim-specific source"
W009,"The Washington Post / Katie Shepherd",journalism,"Catherine Austin Fitts / Planet Lockdown","pandemic claims and distribution network","Reported on Planet Lockdown and identified false claims by Fitts","A",major newsroom,https://www.washingtonpost.com/,active,"Useful for network/distribution history"
W010,"Media Matters for America",media watchdog,"Planet Lockdown ecosystem","distribution/amplification","Reportedly mapped spread of Planet Lockdown before Washington Post coverage","C","Advocacy organization with political orientation; use as lead source only",https://www.mediamatters.org/,research,"Verify every substantive claim independently"
W011,"Patriots for Truth",independent blog,"Catherine Austin Fitts","biographical criticism","Directly questions Fitts biography and network","D","Contains claims that appear inconsistent with other official evidence; useful mainly as a lead and example of critic error",https://patriots4truth.org/,research,"Do not rely on without primary confirmation"
W012,"Cassiopaea Forum thread",forum/community,"Martin Armstrong","community criticism and source leads","Long discussion links Armstrong-critical material","D","Forum content is anecdotal and ideologically mixed",https://cassiopaea.org/forum/,research,"Lead generator only"
W013,"Bitcointalk Armstrong discussions",forum/community,"Martin Armstrong","prediction/customer discussion","Historical user discussion may preserve old calls and complaints","D","Anonymous forum; preserve timestamps and verify claims",https://bitcointalk.org/,research,"Useful for contemporaneous prediction evidence"
W014,"Retraction Watch",research-integrity journalism,"broader network","retracted papers / research integrity","Tracks retractions and research corrections","A/B","Independent specialist outlet",https://retractionwatch.com/,active,"Search every study promoted by network"
W015,"Truth in Advertising (TINA.org)",consumer watchdog,"products/marketing","advertising and endorsement claims","Useful for deceptive-marketing and influencer-disclosure patterns","A/B","Nonprofit advertising watchdog",https://truthinadvertising.org/,active,"Search sellers/products and disclosure practices"
W016,"Quackwatch",consumer health watchdog,"health product branch","medical and supplement claims","Large archive of questionable health claims and operators","B","Longstanding skeptical project; verify with regulators/science",https://quackwatch.org/,active,"Lead source for health vendors"
W017,"McGill Office for Science and Society",academic science communication,"health product branch","health/science claim validation","Evidence-based analyses of health misinformation and products","A/B","University-based science communication",https://www.mcgill.ca/oss/,active,"Use for technical claim checking"
W018,"OCCRP / Aleph",investigative journalism/database,"all money trails","companies, ownership, cross-border money","Corporate/document search useful for financial networks","A",investigative nonprofit,https://www.occrp.org/,active,"Use where entities cross jurisdictions"
W019,"ICIJ Offshore Leaks Database",investigative database,"all money trails","offshore entities and beneficial ownership leads","Search offshore corporate names/officers/addresses","A",ICIJ database,https://offshoreleaks.icij.org/,active,"A match is a lead, not wrongdoing"
W020,"OpenCorporates",corporate database,"all entities","company registry aggregation","Useful for directors, addresses, related companies","B",aggregator of public registries,https://opencorporates.com/,active,"Confirm key facts with official registries"
W021,"LittleSis",power-network database,"all entities","people/org relationship mapping","Potential prior relationship maps and source links","B/C","Crowdsourced; evidence links vary",https://littlesis.org/,active,"Useful graph lead source"
W022,"ProPublica Nonprofit Explorer",database/journalism,"nonprofit branch","Form 990 finances","Easy access to nonprofit tax filings and compensation","A",filings-based database,https://projects.propublica.org/nonprofits/,active,"Critical for CHD/other nonprofits"
