conflict_id,category,test_name,entity_id,target_entity_or_product,claim_or_event,date,status,evidence_for,evidence_against,disclosure_found,money_amount_if_known,source_ids,confidence,priority,notes
COI-001,ownership,Undisclosed product ownership,,,,,queued,,,,,,,HIGH,
COI-002,ownership,Indirect LLC ownership,,,,,queued,,,,,,,HIGH,
COI-003,ownership,Family-member ownership,,,,,queued,,,,,,,HIGH,
COI-004,ownership,Business-partner ownership,,,,,queued,,,,,,,HIGH,
COI-005,ownership,Equity stake in promoted company,,,,,queued,,,,,,,HIGH,
COI-006,supply_chain,White-label relationship,,,,,queued,,,,,,,HIGH,
COI-007,supply_chain,Connected manufacturer,,,,,queued,,,,,,,HIGH,
COI-008,supply_chain,Connected importer or distributor,,,,,queued,,,,,,,HIGH,
COI-009,ownership,Licensing or IP relationship,,,,,queued,,,,,,,HIGH,
COI-010,ownership,Misleading independence,,,,,queued,,,,,,,HIGH,
COI-011,affiliate,Undisclosed affiliate commission,,,,,queued,,,,,,,HIGH,
COI-012,affiliate,Referral fee,,,,,queued,,,,,,,HIGH,
COI-013,sponsorship,Paid sponsorship not clearly disclosed,,,,,queued,,,,,,,HIGH,
COI-014,advertising,Native ad presented as editorial,,,,,queued,,,,,,,HIGH,
COI-015,conference,Conference sponsor conflict,,,,,queued,,,,,,,MEDIUM,
COI-016,conference,Vendor or exhibitor relationship,,,,,queued,,,,,,,MEDIUM,
COI-017,promotion,Reciprocal promotion,,,,,queued,,,,,,,HIGH,
COI-018,affiliate,Cross-affiliate loop,,,,,queued,,,,,,,HIGH,
COI-019,data,Lead-list monetization,,,,,queued,,,,,,,MEDIUM,
COI-020,media,Paid guest placement,,,,,queued,,,,,,,MEDIUM,
COI-021,funnel,Fear-to-subscription funnel,,,,,queued,,,,,,,HIGH,
COI-022,funnel,Fear-to-report funnel,,,,,queued,,,,,,,HIGH,
COI-023,funnel,Free-to-premium upsell ladder,,,,,queued,,,,,,,HIGH,
COI-024,forecasting,Prediction conflict,,,,,queued,,,,,,,HIGH,
COI-025,conference,Conference self-dealing,,,,,queued,,,,,,,HIGH,
COI-026,speaking,Paid speaking conflict,,,,,queued,,,,,,,MEDIUM,
COI-027,information,Premium access conflict,,,,,queued,,,,,,,MEDIUM,
COI-028,media,Book documentary or course sales conflict,,,,,queued,,,,,,,MEDIUM,
COI-029,membership,Donation-to-access model,,,,,queued,,,,,,,MEDIUM,
COI-030,billing,Refund or cancellation friction,,,,,queued,,,,,,,MEDIUM,
COI-031,securities,Short-and-distort risk,,,,,queued,,,,,,,CRITICAL,
COI-032,securities,Pump-and-dump risk,,,,,queued,,,,,,,CRITICAL,
COI-033,securities,Front-running own audience,,,,,queued,,,,,,,CRITICAL,
COI-034,securities,Trading after private access,,,,,queued,,,,,,,CRITICAL,
COI-035,commodities,Commodity inventory conflict,,,,,queued,,,,,,,HIGH,
COI-036,precious_metals,Precious-metals dealer conflict,,,,,queued,,,,,,,HIGH,
COI-037,crypto,Crypto or token allocation conflict,,,,,queued,,,,,,,HIGH,
COI-038,research,Issuer-funded research,,,,,queued,,,,,,,CRITICAL,
COI-039,securities,Competitor-funded attack,,,,,queued,,,,,,,CRITICAL,
COI-040,securities,Adviser or fund position conflict,,,,,queued,,,,,,,CRITICAL,
COI-041,research,Study funded by advocate,,,,,queued,,,,,,,HIGH,
COI-042,research,Researcher owns relevant patent or IP,,,,,queued,,,,,,,HIGH,
COI-043,research,Manufacturer-funded validation,,,,,queued,,,,,,,HIGH,
COI-044,research,Ghostwritten or commissioned research,,,,,queued,,,,,,,HIGH,
COI-045,expert,Expert-witness or consulting compensation,,,,,queued,,,,,,,HIGH,
COI-046,health,Medical-product sales conflict,,,,,queued,,,,,,,HIGH,
COI-047,nonprofit,Nonprofit related-party payment,,,,,queued,,,,,,,CRITICAL,
COI-048,funding,Grant or donation reciprocity,,,,,queued,,,,,,,HIGH,
COI-049,infrastructure,Shared legal PR or marketing infrastructure,,,,,queued,,,,,,,MEDIUM,
COI-050,ownership,Hidden beneficial owner or shell routing,,,,,queued,,,,,,,CRITICAL,
