motif_type,pattern,interpretation
SHARED_ADVERSARY_ASSOCIATES,"relationship(A,B) + negative(A,X) + negative(B,X)","shared-target lead; no coordination inference"
SHARED_SUPPORT_ASSOCIATES,"relationship(A,B) + positive(A,X) + positive(B,X)","shared-support lead"
SHARED_PROMOTION_ASSOCIATES,"relationship(A,B) + promotes(A,X) + promotes(B,X)","investigate shared commercial/media channel"
COMMON_SPONSOR,"sponsor(S,A) + sponsor(S,B)","shared sponsor infrastructure"
COMMON_AFFILIATE_PROGRAM,"affiliate(A,P) + affiliate(B,P)","shared commercial program"
COMMON_MANUFACTURER,"promotes(A,P1) + promotes(B,P2) + manufacturer(M,P1,P2)","shared supply-chain lead"
COMMON_DISTRIBUTOR,"product links converge on same distributor","shared distribution"
COMMON_OWNER,"entity A/B trace to same owner","corporate/control convergence"
RELATED_PARTY_CROSS_PROMOTION,"related_party(A,B)+promotes(A,B_product)","potential COI; disclosure review"
COMPETITOR_CRITICISM_FINANCIAL_INTEREST,"negative(A,X)+financial_interest(A,Y)+competes(Y,X)","commercial-conflict lead"
FEAR_TO_PRODUCT,"fear(A,T)+CTA(A,P) same content/window","fear-commerce lead"
URGENCY_TO_PRODUCT,"urgency(A)+CTA(A,P)","urgency-commerce lead"
SCARCITY_TO_PRODUCT,"scarcity(A)+CTA(A,P)","scarcity-commerce lead"
INSIDER_TO_PRODUCT,"insider_appeal(A)+CTA(A,P)","exclusive-information commerce lead"
THREAT_TO_DONATION,"threat(A)+CALL_TO_DONATE(A)","fundraising-rhetoric lead"
PREDICTION_TO_PRODUCT,"prediction(A,C)+promotes(A,P) related topic","commercially relevant prediction"
FAILED_PREDICTION_REPEAT,"contradicted_prediction(A,C1)+similar_prediction(A,C2) later","track repeated failed forecasting pattern"
PREDICTION_DATE_SLIPPAGE,"same prediction repeatedly receives later target dates","possible moving-goalpost lead"
POST_HOC_REFRAME,"prediction outcome differs + later reinterpretation","review for post-hoc rewriting"
CERTAINTY_ESCALATION_SELF,"same claim by A moves possible->certain","certainty change over time"
CERTAINTY_DEESCALATION_SELF,"same claim by A moves certain->possible","retraction/hedging signal"
CERTAINTY_ESCALATION_CHAIN,"A possible -> B asserted -> C certain same claim","narrative certainty amplification"
ATTRIBUTION_LOSS_CHAIN,"A says source S alleges C; later B states C without attribution","source laundering lead"
SINGLE_SOURCE_MULTIPLE_AMPLIFIERS,"multiple speakers' claim lineage resolves to source S","apparent corroboration may not be independent"
CIRCULAR_CITATION,"A cites B; B cites C; C cites A","circular sourcing"
CITATION_LOOP_TWO_NODE,"A cites B; B cites A","two-node circular sourcing"
MISQUOTE_PROPAGATION,"source text differs materially from repeated paraphrase","source-fidelity problem"
CLAIM_MUTATION_STRONGER,"downstream version adds stronger unsupported element","narrative mutation"
CLAIM_MUTATION_TARGET_CHANGE,"downstream version changes accused target","target drift"
CLAIM_MUTATION_CAUSALITY,"correlation/association becomes causal claim","causality escalation"
CLAIM_MUTATION_QUANTIFIER,"some/may becomes all/will","quantifier escalation"
CLAIM_ORIGIN_BRIDGE,"bridge node first introduces claim into second community","cross-community narrative transport"
PRODUCT_ORIGIN_BRIDGE,"bridge node first promotes product into second community","cross-community commercial transport"
GUEST_BRIDGE,"person repeatedly appears across otherwise separate media communities","audience/network bridge"
