entity_id,research_set,acquisition_scope,priority,inclusion_basis
fitts_catherine,Fitts,full_channel,CORE,"Primary subject; Solari hub"
solari,Fitts,appearance_only,CORE,"Primary organization/media hub; same public channel as Fitts"
betts_carolyn,Fitts,verify_channel,HIGH,"Solari general counsel/collaborator"
titus_john,Fitts,verify_channel,HIGH,"Recurring Solari Money & Markets co-host"
farrell_joseph,Fitts,verify_channel,HIGH,"Recurring Solari collaborator"
lynn_corey,Fitts,verify_channel,HIGH,"Joint Solari Solution Series"
oskam_ricardo,Fitts,verify_channel,HIGH,"Recurring Solari host/contributor"
vanhamelen_elze,Fitts,verify_channel,HIGH,"Solari researcher/contributor"
walters_jennifer,Fitts,verify_channel,MEDIUM,"Solari health programming"
granogger_ulrike,Fitts,verify_channel,MEDIUM,"Future Science programming"
white_james,Fitts,verify_channel,MEDIUM,"Solution Series co-host"
luschas_susan,Fitts,verify_channel,MEDIUM,"Cash/state-policy collaborator"
werner_richard,Fitts,verify_channel,HIGH,"Finance/conference overlap"
dowd_edward,Fitts,verify_channel,HIGH,"Conference/media overlap"
skidmore_mark,Fitts,verify_channel,HIGH,"Research/collaboration"
schectman_andy,Fitts,verify_channel,HIGH,"Precious-metals reciprocal media"
miles_franklin,Fitts,verify_channel,HIGH,"Commercial precious-metals node"
tommey_polly,Fitts,verify_channel,HIGH,"Financial Rebellion co-host"
chd,Fitts,full_channel,HIGH,"Formal Solari/CHD collaboration/media ecosystem"
holland_mary,Fitts,verify_channel,HIGH,"CHD leadership/conference overlap"
mercola_joseph,Fitts,verify_channel,HIGH,"Repeated Fitts interviews"
bigtree_del,Fitts,full_channel,HIGH,"Repeated Fitts interview/media bridge"
patrick_james,Bridge,verify_channel,HIGH,"Planet Lockdown interviewer of Fitts and Armstrong"
planet_lockdown,Bridge,verify_channel,HIGH,"Shared Fitts/Armstrong media bridge"
uk_column,Fitts,full_channel,HIGH,"Repeated Fitts symposium/media hub"
robinson_mike,Fitts,verify_channel,MEDIUM,"UK Column/conference overlap"
hudak_taylor,Fitts,verify_channel,MEDIUM,"Symposium/conference moderation"
hunter_greg,Bridge,appearance_only,CORE,"USAWatchdog host; recurring Fitts/Armstrong interviewer"
usawatchdog,Bridge,full_channel,CORE,"Recurring Fitts/Armstrong interviews"
westall_sarah,Bridge,full_channel,CORE,"Recurring Fitts/Armstrong interviews"
martenson_chris,Bridge,full_channel,HIGH,"Finance/collapse media overlap"
armstrong_martin,Armstrong,full_channel,CORE,"Primary subject; Armstrong Economics hub"
armstrong_economics,Armstrong,appearance_only,CORE,"Primary organization/platform; same official channel"
socrates,Armstrong,appearance_only,CORE,"Armstrong forecasting product/platform"
campbell_mike,Armstrong,verify_channel,HIGH,"Armstrong friend/WEC contributor"
lutz_kerry,Armstrong,verify_channel,HIGH,"Armstrong interviewer/book collaborator"
pletsch_erwin,Armstrong,verify_channel,MEDIUM,"Armstrong-branded education/training"
coffee_mike,Bridge,full_channel,MEDIUM,"Fitts/Armstrong interview bridge"
commodity_culture,Armstrong,full_channel,MEDIUM,"Armstrong media circuit"
canadian_prepper,Armstrong,full_channel,MEDIUM,"Armstrong media circuit"
palisades_radio,Armstrong,verify_channel,MEDIUM,"Armstrong media circuit"
doctors_appeal,Bridge,verify_channel,HIGH,"Shared Fitts/Armstrong conference hub"
